# name: hermes3D.wgt.k-
# comment: HERMES 3D DSA-A_LT k- from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k-.50,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.3058620947489468,0.138,0.6,0.204,0.2,0.28,0.239,0.36,0.54,0.449,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.353877,0.575178,0.028426
hermes3D.wgt.k-.51,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.3321663748540753,0.138,0.6,0.205,0.2,0.28,0.245,0.54,2.0,0.663,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.355477,1.300896,0.053331
hermes3D.wgt.k-.52,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.169792616818483,0.138,0.6,0.203,0.28,0.37,0.322,0.0,0.23,0.146,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.777697,0.426724,0.035675
hermes3D.wgt.k-.53,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2176564206386886,0.138,0.6,0.209,0.28,0.37,0.325,0.23,0.36,0.291,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.195516,0.474713,0.101737
hermes3D.wgt.k-.54,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.213820227570432,0.138,0.6,0.205,0.28,0.37,0.325,0.36,0.54,0.441,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.277304,0.552573,0.059775
hermes3D.wgt.k-.55,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.251221890440833,0.138,0.6,0.2,0.28,0.37,0.324,0.54,2.0,0.691,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.180652,0.587597,0.044484
hermes3D.wgt.k-.56,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.085665361461421,0.138,0.6,0.195,0.37,0.49,0.42,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.577641,0.549921,0.007778
hermes3D.wgt.k-.57,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1187260323128143,0.138,0.6,0.205,0.37,0.49,0.423,0.23,0.36,0.293,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.642117,0.566368,0.051604
hermes3D.wgt.k-.58,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.179449471770337,0.138,0.6,0.207,0.37,0.49,0.426,0.36,0.54,0.437,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.36392,0.581287,0.103548
hermes3D.wgt.k-.59,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.206354459283458,0.138,0.6,0.203,0.37,0.49,0.425,0.54,2.0,0.728,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.535875,0.632757,0.041483
hermes3D.wgt.k-.60,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.095709903588758,0.138,0.6,0.196,0.49,0.7,0.562,0.0,0.23,0.154,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.492225,0.676495,0.010612
hermes3D.wgt.k-.61,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.086384432457259,0.138,0.6,0.201,0.49,0.7,0.571,0.23,0.36,0.294,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.352771,0.869166,0.032367
hermes3D.wgt.k-.62,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1354156504062622,0.138,0.6,0.207,0.49,0.7,0.577,0.36,0.54,0.44,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.300555,0.620506,0.071348
hermes3D.wgt.k-.63,1,1,-2,13001,1,1,-2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.202498581157318,0.138,0.6,0.204,0.49,0.7,0.579,0.54,2.0,0.735,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,1.241101,0.531036,0.100682
