# name: hermes3D.wgt.k+
# comment: HERMES 3D DSA-A_LT k+ from p. The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.wgt.k+.41,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.6312571838922274,0.098,0.138,0.116,0.37,0.49,0.427,0.23,0.36,0.291,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.196945,0.397925,0.038724
hermes3D.wgt.k+.42,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.731184565550421,0.098,0.138,0.117,0.37,0.49,0.428,0.36,0.54,0.442,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.187606,0.520095,0.024851
hermes3D.wgt.k+.43,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.791368192192772,0.098,0.138,0.115,0.37,0.49,0.428,0.54,2.0,0.716,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.211782,0.315711,0.004156
hermes3D.wgt.k+.44,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.5719414747375298,0.098,0.138,0.116,0.49,0.7,0.574,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.438438,0.427801,0.005896
hermes3D.wgt.k+.45,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.581771159175688,0.098,0.138,0.116,0.49,0.7,0.577,0.23,0.36,0.296,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.385735,0.439214,0.037935
hermes3D.wgt.k+.46,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.6434719346554112,0.098,0.138,0.116,0.49,0.7,0.583,0.36,0.54,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.132348,0.405941,0.058805
hermes3D.wgt.k+.47,1,1,2,13001,1,1,2,2001,52.657444,1.0,2.6053873723498393,1.7495713760804388,0.098,0.138,0.115,0.49,0.7,0.588,0.54,2.0,0.752,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.18878,0.338417,0.028899
hermes3D.wgt.k+.48,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2695814592122487,0.138,0.6,0.207,0.2,0.28,0.242,0.0,0.23,0.138,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.705569,0.268707,0.081303
hermes3D.wgt.k+.49,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.3086792761230392,0.138,0.6,0.208,0.2,0.28,0.243,0.23,0.36,0.292,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.186506,0.414682,0.094103
hermes3D.wgt.k+.50,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.24966664197165,0.138,0.6,0.196,0.2,0.28,0.241,0.36,0.54,0.445,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.275618,0.419562,0.05544
hermes3D.wgt.k+.51,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2845130772223654,0.138,0.6,0.211,0.2,0.28,0.246,0.54,2.0,0.645,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-1.232469,0.830198,0.03881
hermes3D.wgt.k+.52,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1828879952943074,0.138,0.6,0.204,0.28,0.37,0.323,0.0,0.23,0.142,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.198773,0.24689,0.062498
hermes3D.wgt.k+.53,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2376326776305353,0.138,0.6,0.211,0.28,0.37,0.325,0.23,0.36,0.289,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.067267,0.304254,0.112212
hermes3D.wgt.k+.54,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2454398232862975,0.138,0.6,0.203,0.28,0.37,0.325,0.36,0.54,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.036317,0.345632,0.093733
hermes3D.wgt.k+.55,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.166564100136435,0.138,0.6,0.198,0.28,0.37,0.327,0.54,2.0,0.681,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.385415,0.438759,0.060254
hermes3D.wgt.k+.56,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.151743479135001,0.138,0.6,0.204,0.37,0.49,0.424,0.0,0.23,0.15,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.296943,0.278957,0.067538
hermes3D.wgt.k+.57,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1505813167606567,0.138,0.6,0.204,0.37,0.49,0.425,0.23,0.36,0.292,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.377541,0.297305,0.080875
hermes3D.wgt.k+.58,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.215851980616034,0.138,0.6,0.21,0.37,0.49,0.426,0.36,0.54,0.439,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.115803,0.315079,0.12102
hermes3D.wgt.k+.59,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.241205033012375,0.138,0.6,0.204,0.37,0.49,0.428,0.54,2.0,0.707,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.447946,0.360691,0.067414
hermes3D.wgt.k+.60,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1321350801485353,0.138,0.6,0.204,0.49,0.7,0.576,0.0,0.23,0.149,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,-0.36099,0.332401,0.077941
hermes3D.wgt.k+.61,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1253235047869774,0.138,0.6,0.206,0.49,0.7,0.577,0.23,0.36,0.296,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.099273,0.330241,0.076008
hermes3D.wgt.k+.62,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.151278689523977,0.138,0.6,0.207,0.49,0.7,0.583,0.36,0.54,0.443,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.15624,0.273613,0.087213
hermes3D.wgt.k+.63,1,1,2,13001,1,1,2,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2485550916088313,0.138,0.6,0.21,0.49,0.7,0.589,0.54,2.0,0.731,0.938,0.494,True,0.1,0.95,10.0,10000.0,1.0,0.147528,0.296507,0.082664
