# name: CMS13_dQ_76to106
# comment: CMS 13TeV 2021 preliminary
# reference: CMS-PAS-SMP-20-003
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.012
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg
CMS13_dQ_76to106.26,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,85.0,120.0,144.97279645879783,True,25.0,20.0,-2.4,2.4,0.4066,0.0065056,91.0,0.0,102.5
CMS13_dQ_76to106.27,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,120.0,160.0,140.43601481599958,True,25.0,20.0,-2.4,2.4,0.1422,0.0024506304250131233,91.0,0.0,140.0
CMS13_dQ_76to106.28,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,160.0,190.0,140.4490792987401,True,25.0,20.0,-2.4,2.4,0.0598,0.0013115163895277865,91.0,0.0,175.0
CMS13_dQ_76to106.29,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,190.0,220.0,140.36456615837213,True,25.0,20.0,-2.4,2.4,0.03193,0.0008077722055134107,91.0,0.0,205.0
CMS13_dQ_76to106.30,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,220.0,250.0,140.91125902096266,True,25.0,20.0,-2.4,2.4,0.01798,0.0005719788149923037,91.0,0.0,235.0
CMS13_dQ_76to106.31,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,250.0,300.0,141.14135268245366,True,25.0,20.0,-2.4,2.4,0.00924,0.0003037979354768561,91.0,0.0,275.0
CMS13_dQ_76to106.32,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,300.0,350.0,139.96300641665263,True,25.0,20.0,-2.4,2.4,0.00407,0.00018073733095296055,91.0,0.0,325.0
CMS13_dQ_76to106.33,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,350.0,400.0,140.06864024807402,True,25.0,20.0,-2.4,2.4,0.00193,0.00011148987084035933,91.0,0.0,375.0
CMS13_dQ_76to106.34,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,400.0,450.0,140.7177857900053,True,25.0,20.0,-2.4,2.4,0.001034,8.805407038859702e-05,91.0,0.0,425.0
CMS13_dQ_76to106.35,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,450.0,500.0,142.2912935781538,True,25.0,20.0,-2.4,2.4,0.000599,7.151969697922385e-05,91.0,0.0,475.0
CMS13_dQ_76to106.36,1,1,1,3,169000000.0,76.0,106.0,-2.4,2.4,500.0,1000.0,140.23154233730008,True,25.0,20.0,-2.4,2.4,8.41e-05,7.925504754272753e-06,91.0,0.0,750.0
