# name: E537-dxF
# comment: E537 data xF-differential
# reference: Phys.Rev.D 93 (1988) 1377
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.08
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E537-dxF.02TO03.10,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.23606797749979,2.345207879911715,0.0010913990241192527,False,0.00593,0.00611,6.5,0.25,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.11,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.00438,6.5,0.25,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.12,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.00331,0.00346,6.5,0.25,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.13,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.0034,6.5,0.25,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.02TO03.14,2,-1,184074,1,235.4,4.0,9.0,0.2,0.3,2.6457513110645907,2.7386127875258306,0.0009286147646124005,False,0.0,0.0109,6.5,0.25,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.0,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,0.0,0.7071067811865476,0.007071067811865475,False,0.0973,0.0222,6.5,0.35,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.1,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,0.7071067811865476,1.0,0.002928932188134525,False,0.0949,0.0201,6.5,0.35,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.2,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.0,1.224744871391589,0.002247448713915891,False,0.0395,0.0126,6.5,0.35,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.3,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.224744871391589,1.4142135623730951,0.00189468690981506,False,0.0286,0.0118,6.5,0.35,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.4,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.4142135623730951,1.5811388300841898,0.0016692526771109465,False,0.00876,0.00623,6.5,0.35,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.5,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.5811388300841898,1.7320508075688772,0.0015091197748468772,False,0.00972,0.00569,6.5,0.35,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.6,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.0271,0.0115,6.5,0.35,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.7,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,1.8708286933869707,2.0,0.0012917130661302936,False,0.0037,0.00375,6.5,0.35,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.8,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.0,2.1213203435596424,0.0012132034355964263,False,0.00371,0.00377,6.5,0.35,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.9,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.1213203435596424,2.23606797749979,0.0011474763394014704,False,0.0,0.00292,6.5,0.35,2.178694160529716,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.10,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.23606797749979,2.345207879911715,0.0010913990241192527,False,0.0,0.00282,6.5,0.35,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.11,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.0,0.00714,6.5,0.35,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.12,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.0,0.0036,6.5,0.35,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.13,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.5495097567963922,2.6457513110645907,0.0009624155426819814,False,0.0,0.00242,6.5,0.35,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.03TO04.14,2,-1,184074,1,235.4,4.0,9.0,0.3,0.4,2.6457513110645907,2.7386127875258306,0.0009286147646124005,False,0.0,0.00325,6.5,0.35,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.0,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,0.0,0.7071067811865476,0.007071067811865475,False,0.0756,0.0176,6.5,0.45,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.1,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,0.7071067811865476,1.0,0.002928932188134525,False,0.0283,0.0101,6.5,0.45,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.2,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.0,1.224744871391589,0.0022474487139158904,False,0.0286,0.0114,6.5,0.45,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.3,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.0205,0.00794,6.5,0.45,1.3194792168823422,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.4,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.4142135623730951,1.5811388300841898,0.0016692526771109463,False,0.00724,0.00517,6.5,0.45,1.4976761962286425,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.5,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.5811388300841898,1.7320508075688772,0.0015091197748468772,False,0.0129,0.00768,6.5,0.45,1.6565948188265334,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.6,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.7320508075688772,1.8708286933869707,0.0013877788581809335,False,0.00391,0.00396,6.5,0.45,1.801439750477924,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.7,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,1.8708286933869707,2.0,0.0012917130661302934,False,0.0,0.00362,6.5,0.45,1.9354143466934852,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.8,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.0,2.1213203435596424,0.001213203435596426,False,0.0,0.00371,6.5,0.45,2.060660171779821,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.9,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.1213203435596424,2.23606797749979,0.0011474763394014702,False,0.0,0.00202,6.5,0.45,2.178694160529716,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.10,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.23606797749979,2.345207879911715,0.0010913990241192527,False,0.0,0.00304,6.5,0.45,2.2906379287057526,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.11,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.345207879911715,2.449489742783178,0.001042818628714632,False,0.00257,0.00275,6.5,0.45,2.397348811347446,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.12,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.449489742783178,2.5495097567963922,0.0010002001401321437,False,0.0,0.00542,6.5,0.45,2.499499749789785,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.13,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.5495097567963922,2.6457513110645907,0.0009624155426819812,False,0.0,0.00657,6.5,0.45,2.5976305339304915,0.0,0.0,-100.0,100.0
E537-dxF.04TO05.14,2,-1,184074,1,235.4,4.0,9.0,0.4,0.5,2.6457513110645907,2.7386127875258306,0.0009286147646124005,False,0.0,0.00127,6.5,0.45,2.6921820492952104,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.0,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,0.0,0.7071067811865476,0.007071067811865475,False,0.0216,0.0102,6.5,0.55,0.3535533905932738,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.1,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,0.7071067811865476,1.0,0.002928932188134525,False,0.032,0.0129,6.5,0.55,0.8535533905932737,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.2,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.0,1.224744871391589,0.0022474487139158904,False,0.00678,0.00483,6.5,0.55,1.1123724356957945,0.0,0.0,-100.0,100.0
E537-dxF.05TO06.3,2,-1,184074,1,235.4,4.0,9.0,0.5,0.6,1.224744871391589,1.4142135623730951,0.0018946869098150595,False,0.00986,0.0058,6.5,0.55,1.3194792168823422,0.0,0.0,-100.0,100.0
