# name: LHCb13_dy
# comment: LHCb 13TeV 2021 update y-differential
# reference: arXiv:2112.07458
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.02
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg
LHCb13_dy.29,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,8.28,0.06,0.33,3.25,2.8
LHCb13_dy.30,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,8.31,0.06,0.19,3.25,4.0
LHCb13_dy.31,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,8.04,0.06,0.13,3.25,5.199999999999999
LHCb13_dy.32,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,7.12,0.05,0.09,3.25,6.5
LHCb13_dy.33,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,6.12,0.05,0.16,3.25,7.949999999999999
LHCb13_dy.34,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,5.44,0.04,0.11,3.25,9.6
LHCb13_dy.35,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,4.49,0.03,0.04,3.25,11.65
LHCb13_dy.36,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,3.52,0.03,0.08,3.25,14.100000000000001
LHCb13_dy.37,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,2.81,0.02,0.03,3.25,17.2
LHCb13_dy.38,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,1.923,0.013,0.051,3.25,21.75
LHCb13_dy.39,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,24.5,34.0,60.0,True,20.0,20.0,2.0,4.5,1.16,0.008,0.012,3.25,29.25
LHCb13_dy.40,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,34.0,63.0,60.0,True,20.0,20.0,2.0,4.5,0.425,0.003,0.006,3.25,48.5
LHCb13_dy.41,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,63.0,270.0,60.0,True,20.0,20.0,2.0,4.5,0.02,0.0002,0.0003,3.25,166.5
LHCb13_dy.42,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,2.37,0.03,0.12,3.75,1.1
LHCb13_dy.43,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,4.56,0.05,0.19,3.75,2.8
LHCb13_dy.44,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,4.5,0.05,0.16,3.75,4.0
LHCb13_dy.45,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,4.17,0.05,0.07,3.75,5.199999999999999
LHCb13_dy.46,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,3.59,0.04,0.08,3.75,6.5
LHCb13_dy.47,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,3.18,0.03,0.13,3.75,7.949999999999999
LHCb13_dy.48,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,2.72,0.03,0.09,3.75,9.6
LHCb13_dy.49,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,2.38,0.02,0.04,3.75,11.65
LHCb13_dy.50,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,1.823,0.019,0.04,3.75,14.100000000000001
LHCb13_dy.51,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,1.361,0.013,0.059,3.75,17.2
LHCb13_dy.52,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,0.955,0.009,0.012,3.75,21.75
LHCb13_dy.53,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,24.5,34.0,60.0,True,20.0,20.0,2.0,4.5,0.569,0.005,0.011,3.75,29.25
LHCb13_dy.54,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,34.0,63.0,60.0,True,20.0,20.0,2.0,4.5,0.187,0.002,0.003,3.75,48.5
LHCb13_dy.55,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,63.0,270.0,60.0,True,20.0,20.0,2.0,4.5,0.00575,0.00012,0.00036,3.75,166.5
LHCb13_dy.56,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,0.388,0.012,0.013,4.25,1.1
LHCb13_dy.57,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,0.726,0.02,0.021,4.25,2.8
LHCb13_dy.58,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,0.749,0.02,0.025,4.25,4.0
LHCb13_dy.59,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,0.776,0.023,0.036,4.25,5.199999999999999
LHCb13_dy.60,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,0.617,0.016,0.019,4.25,6.5
LHCb13_dy.61,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,0.483,0.013,0.045,4.25,7.949999999999999
LHCb13_dy.62,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,0.428,0.012,0.015,4.25,9.6
LHCb13_dy.63,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,0.4,0.01,0.016,4.25,11.65
LHCb13_dy.64,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,0.259,0.007,0.01,4.25,14.100000000000001
LHCb13_dy.65,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,0.202,0.006,0.013,4.25,17.2
LHCb13_dy.66,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,0.143,0.004,0.005,4.25,21.75
LHCb13_dy.67,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,24.5,34.0,60.0,True,20.0,20.0,2.0,4.5,0.0761,0.0021,0.0015,4.25,29.25
LHCb13_dy.68,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,34.0,63.0,60.0,True,20.0,20.0,2.0,4.5,0.0208,0.0006,0.0012,4.25,48.5
LHCb13_dy.69,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,63.0,270.0,60.0,True,20.0,20.0,2.0,4.5,0.00028,2e-05,5e-05,4.25,166.5
