# name: CDF2
# comment: CDF run2
# reference: arXiv:1207.7138
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.058
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,corrErr_0,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
CDF2.66,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,65.0,70.0,1000.0,False,0.1343,0.0084,0.0011,0.0,67.5,0.0,0.0,-100.0,100.0
CDF2.67,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,70.0,75.0,1000.0,False,0.1094,0.0078,0.0009,0.0,72.5,0.0,0.0,-100.0,100.0
CDF2.68,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,75.0,80.0,1000.0,False,0.08415,0.00678,0.00068,0.0,77.5,0.0,0.0,-100.0,100.0
CDF2.69,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,80.0,85.0,1000.0,False,0.06347,0.00565,0.00049,0.0,82.5,0.0,0.0,-100.0,100.0
CDF2.70,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,85.0,90.0,1000.0,False,0.04982,0.00504,0.00038,0.0,87.5,0.0,0.0,-100.0,100.0
CDF2.71,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,90.0,95.0,1000.0,False,0.03786,0.00422,0.00028,0.0,92.5,0.0,0.0,-100.0,100.0
CDF2.72,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,95.0,100.0,1000.0,False,0.02988,0.00389,0.00023,0.0,97.5,0.0,0.0,-100.0,100.0
CDF2.73,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,100.0,110.0,1000.0,False,0.02298,0.00227,0.00016,0.0,105.0,0.0,0.0,-100.0,100.0
CDF2.74,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,110.0,120.0,1000.0,False,0.01449,0.00178,0.0001,0.0,115.0,0.0,0.0,-100.0,100.0
CDF2.75,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,120.0,130.0,1000.0,False,0.009369,0.001389,6.4e-05,0.0,125.0,0.0,0.0,-100.0,100.0
CDF2.76,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,130.0,140.0,1000.0,False,0.008395,0.001496,5.5e-05,0.0,135.0,0.0,0.0,-100.0,100.0
CDF2.77,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,140.0,150.0,1000.0,False,0.005304,0.001174,3.4e-05,0.0,145.0,0.0,0.0,-100.0,100.0
CDF2.78,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,150.0,175.0,1000.0,False,0.001861,0.000331,1.2e-05,0.0,162.5,0.0,0.0,-100.0,100.0
CDF2.79,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,175.0,200.0,1000.0,False,0.0005283,0.0001478,3.1e-06,0.0,187.5,0.0,0.0,-100.0,100.0
CDF2.80,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,200.0,250.0,1000.0,False,0.0002838,0.0001019,1.9e-06,0.0,225.0,0.0,0.0,-100.0,100.0
CDF2.81,1,1,-1,3,3841600.0,66.0,116.0,91.0,-10.0,10.0,250.0,350.0,1000.0,False,0.0001489,0.0001162,9e-07,0.0,300.0,0.0,0.0,-100.0,100.0
