# name: hermes3D.sivers.pi+
# comment: HERMES SSA-Sivers pi+ (3d-data). The data MUST be evaluated at a point
# reference: 2007.07755
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.073
id,ps_def,h_1,h_2,proc_id,ps_def_weight,h_1_weight,h_2_weight,proc_id_weight,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,thFactor,xSec,uncorrErr_0,uncorrErr_1
hermes3D.sivers.pi+.30,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.419506956657839,0.072,0.098,0.084,0.49,0.7,0.583,0.36,0.54,0.443,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.039426,0.040704,0.002812
hermes3D.sivers.pi+.31,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.195562470074582,1.5145956556124147,0.072,0.098,0.084,0.49,0.7,0.583,0.54,2.0,0.754,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.085157,0.032874,0.000702
hermes3D.sivers.pi+.32,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.6917446615846021,0.098,0.138,0.116,0.2,0.28,0.239,0.0,0.23,0.139,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.013345,0.019774,0.004328
hermes3D.sivers.pi+.33,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.783255450012701,0.098,0.138,0.116,0.2,0.28,0.239,0.23,0.36,0.292,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.003191,0.025531,0.006884
hermes3D.sivers.pi+.34,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.8063775906493083,0.098,0.138,0.115,0.2,0.28,0.239,0.36,0.54,0.441,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.034553,0.024615,0.006374
hermes3D.sivers.pi+.35,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.8780308836651223,0.098,0.138,0.115,0.2,0.28,0.244,0.54,2.0,0.638,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.049098,0.042187,0.000511
hermes3D.sivers.pi+.36,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5915401345866211,0.098,0.138,0.116,0.28,0.37,0.322,0.0,0.23,0.143,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.040173,0.021072,0.001735
hermes3D.sivers.pi+.37,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.6772000476985445,0.098,0.138,0.116,0.28,0.37,0.323,0.23,0.36,0.291,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.035081,0.027513,0.003221
hermes3D.sivers.pi+.38,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7415510328439991,0.098,0.138,0.116,0.28,0.37,0.322,0.36,0.54,0.442,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.063807,0.026866,0.003294
hermes3D.sivers.pi+.39,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7919263377717287,0.098,0.138,0.115,0.28,0.37,0.325,0.54,2.0,0.672,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.023566,0.031485,0.007113
hermes3D.sivers.pi+.40,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5527395145355192,0.098,0.138,0.116,0.37,0.49,0.423,0.0,0.23,0.148,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.018547,0.02487,0.001707
hermes3D.sivers.pi+.41,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5842979517754858,0.098,0.138,0.116,0.37,0.49,0.426,0.23,0.36,0.293,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.02205,0.026376,0.002531
hermes3D.sivers.pi+.42,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.6855266239368634,0.098,0.138,0.116,0.37,0.49,0.427,0.36,0.54,0.441,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.045402,0.029709,0.002838
hermes3D.sivers.pi+.43,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7640861656959956,0.098,0.138,0.116,0.37,0.49,0.427,0.54,2.0,0.716,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.055838,0.029201,0.007338
hermes3D.sivers.pi+.44,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5440207252495026,0.098,0.138,0.116,0.49,0.7,0.577,0.0,0.23,0.151,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.0182,0.029389,0.004255
hermes3D.sivers.pi+.45,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5479018056711478,0.098,0.138,0.116,0.49,0.7,0.579,0.23,0.36,0.296,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.065233,0.028276,0.000317
hermes3D.sivers.pi+.46,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.5965587994182988,0.098,0.138,0.116,0.49,0.7,0.582,0.36,0.54,0.441,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.105113,0.028773,0.000987
hermes3D.sivers.pi+.47,1,1,1,12001,1,1,1,2001,52.657444,1.0,2.6053873723498393,1.7271363582531636,0.098,0.138,0.115,0.49,0.7,0.584,0.54,2.0,0.742,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.138273,0.029199,0.005899
hermes3D.sivers.pi+.48,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2244100341438853,0.138,0.6,0.205,0.2,0.28,0.239,0.0,0.23,0.141,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.009474,0.016029,0.0047
hermes3D.sivers.pi+.49,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.292596780945136,0.138,0.6,0.214,0.2,0.28,0.241,0.23,0.36,0.29,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.053369,0.020742,0.003146
hermes3D.sivers.pi+.50,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2825424421026654,0.138,0.6,0.207,0.2,0.28,0.24,0.36,0.54,0.44,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.002487,0.027217,0.000198
hermes3D.sivers.pi+.51,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.3285188425262957,0.138,0.6,0.209,0.2,0.28,0.244,0.54,2.0,0.637,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.037597,0.067031,0.008044
hermes3D.sivers.pi+.52,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1168372634664196,0.138,0.6,0.201,0.28,0.37,0.321,0.0,0.23,0.147,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,-0.001123,0.017898,0.00579
hermes3D.sivers.pi+.53,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1542980295214496,0.138,0.6,0.21,0.28,0.37,0.323,0.23,0.36,0.292,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.069347,0.020913,0.001349
hermes3D.sivers.pi+.54,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2104298224553522,0.138,0.6,0.211,0.28,0.37,0.324,0.36,0.54,0.439,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.045541,0.023719,0.000912
hermes3D.sivers.pi+.55,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.22081066279861,0.138,0.6,0.205,0.28,0.37,0.325,0.54,2.0,0.671,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.107159,0.038409,0.003497
hermes3D.sivers.pi+.56,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.093800372528384,0.138,0.6,0.201,0.37,0.49,0.422,0.0,0.23,0.15,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.022908,0.020982,0.003923
hermes3D.sivers.pi+.57,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.093800372528384,0.138,0.6,0.205,0.37,0.49,0.424,0.23,0.36,0.294,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.054012,0.022354,0.00165
hermes3D.sivers.pi+.58,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.1554581879498382,0.138,0.6,0.21,0.37,0.49,0.427,0.36,0.54,0.438,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.075634,0.022841,0.00218
hermes3D.sivers.pi+.59,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.2,0.138,0.6,0.205,0.37,0.49,0.427,0.54,2.0,0.704,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.110309,0.029001,0.002323
hermes3D.sivers.pi+.60,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.0815859338494773,0.138,0.6,0.2,0.49,0.7,0.575,0.0,0.23,0.153,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.029106,0.025803,0.002488
hermes3D.sivers.pi+.61,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.0690577565645674,0.138,0.6,0.2,0.49,0.7,0.577,0.23,0.36,0.296,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.03189,0.025168,0.001729
hermes3D.sivers.pi+.62,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.100238081742163,0.138,0.6,0.206,0.49,0.7,0.58,0.36,0.54,0.444,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.123276,0.022895,0.003665
hermes3D.sivers.pi+.63,1,1,1,12001,1,1,1,2001,52.657444,1.2083341335037487,5.4326082133722835,2.195905280288747,0.138,0.6,0.209,0.49,0.7,0.587,0.54,2.0,0.723,0.938,0.139,True,0.1,0.95,10.0,10000.0,1.0,0.091361,0.023789,0.010074
