# name: compass.d.h+
# comment: COMPASS isoscalar h+. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1709.07374
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,x_min,x_max,z_min,z_max,pT_min,pT_max,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0,Q_avg,x_avg,z_avg,pT_avg
compass.d.h+.57,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.37416573867739417,0.41231056256176607,0.938,0.139,2.41735011160587e-05,True,0.1,0.9,25.0,10000.0,4.123,0.1584,0.3516919,0.07232196735840316,3.3228756555322954,0.0435,0.25,0.3932381506195801
compass.d.h+.58,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.41231056256176607,0.4472135954999579,0.938,0.139,2.2119082480045068e-05,True,0.1,0.9,25.0,10000.0,3.7854,0.161,0.32857272000000004,0.06640009101103549,3.3228756555322954,0.0435,0.25,0.429762079030862
compass.d.h+.59,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.4472135954999579,0.47958315233127197,0.938,0.139,2.0513543870592684e-05,True,0.1,0.9,25.0,10000.0,3.1037,0.1272,0.26909078999999997,0.0544423211472898,3.3228756555322954,0.0435,0.25,0.46339837391561495
compass.d.h+.60,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.47958315233127197,0.5196152422706632,0.938,0.139,1.9027138002290916e-05,True,0.1,0.9,25.0,10000.0,2.8112,0.1109,0.24485552,0.049311548541824624,3.3228756555322954,0.0435,0.25,0.4995991973009676
compass.d.h+.61,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.5196152422706632,0.5477225575051661,0.938,0.139,1.7812435528612976e-05,True,0.1,0.9,25.0,10000.0,2.3112,0.1139,0.20962584,0.04054099707949099,3.3228756555322954,0.0435,0.25,0.5336688998879147
compass.d.h+.62,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.5477225575051661,0.5916079783099616,0.938,0.139,1.668689212490615e-05,True,0.1,0.9,25.0,10000.0,2.0728,0.0849,0.18468648,0.03635919814225032,3.3228756555322954,0.0435,0.25,0.5696652679075638
compass.d.h+.63,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.5916079783099616,0.6324555320336759,0.938,0.139,1.5531780487779804e-05,True,0.1,0.9,25.0,10000.0,1.673,0.0751,0.15625819999999999,0.029346265192968343,3.3228756555322954,0.0435,0.25,0.6120317551718187
compass.d.h+.64,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.6324555320336759,0.6782329983125268,0.938,0.139,1.4505265977063823e-05,True,0.1,0.9,25.0,10000.0,1.4527,0.0675,0.13553691,0.025481960218664144,3.3228756555322954,0.0435,0.25,0.6553442651731014
compass.d.h+.65,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.6782329983125268,0.7211102550927979,0.938,0.139,1.3586291783301073e-05,True,0.1,0.9,25.0,10000.0,1.0612,0.0569,0.10219355999999999,0.018614618423656904,3.3228756555322954,0.0435,0.25,0.6996716267026624
compass.d.h+.66,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.7211102550927979,0.7745966692414834,0.938,0.139,1.2710969934314164e-05,True,0.1,0.9,25.0,10000.0,0.8773,0.0412,0.08474718,0.015388809595810595,3.3228756555322954,0.0435,0.25,0.7478534621671407
compass.d.h+.67,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.7745966692414834,0.8246211251235321,0.938,0.139,1.1888240496540638e-05,True,0.1,0.9,25.0,10000.0,0.7199,0.0376,0.07163005,0.012627839995467967,3.3228756555322954,0.0435,0.25,0.7996088971825077
compass.d.h+.68,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.8246211251235321,0.8717797887081347,0.938,0.139,1.1207189049914122e-05,True,0.1,0.9,25.0,10000.0,0.5335,0.035,0.056284249999999994,0.009358178410309987,3.3228756555322954,0.0435,0.25,0.8482004569158335
compass.d.h+.69,1,12,12,2001,301.03984399999996,2.6457513110645907,4.0,0.032,0.055,0.2,0.3,0.8717797887081347,0.9327379053088815,0.938,0.139,1.0535715891727514e-05,True,0.1,0.9,25.0,10000.0,0.3426,0.0215,0.036555420000000005,0.006009581861991006,3.3228756555322954,0.0435,0.25,0.902258847008508
