# name: hermes3D.p.pi-
# comment: HERMES proton-to-pi- (zxpt-3D) vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.pi-.30,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4295751,0.25,0.35,0.3079483,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.8271219,0.02265541,0.1880811,0.022268260221694106
hermes3D.p.pi-.31,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4332765,0.35,0.45,0.4124587,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.9113495,0.02229233,0.1300682,0.024535884999430935
hermes3D.p.pi-.32,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4331425,0.45,0.6,0.5382168,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.7611685,0.01596964,0.05836937,0.020492624159215916
hermes3D.p.pi-.33,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4375076,0.6,0.8,0.71512,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.471845,0.009631586,0.01955466,0.012703287440829769
hermes3D.p.pi-.34,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4407623,0.8,1.2,0.9784643,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1266748,0.003375469,0.005407345,0.003410413156671413
hermes3D.p.pi-.35,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5321032,0.0,0.15,0.1037318,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1197648,0.008648303,0.00349989,0.0032243780896130917
hermes3D.p.pi-.36,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5344866,0.15,0.25,0.2050285,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3056249,0.01360304,0.07065222,0.00822821255661256
hermes3D.p.pi-.37,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5434017,0.25,0.35,0.3093208,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.4147209,0.0139377,0.05908298,0.011165358964108169
hermes3D.p.pi-.38,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5420689,0.35,0.45,0.4084944,0.938,0.139,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.3933123,0.01283271,0.01809011,0.01058898409628982
hermes3D.p.pi-.39,1,1,-1,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5403907,0.45,0.6,0.5308294,0.938,0.139,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.3888423,0.009799603,0.036229,0.01046864013829406
