# name: hermes3D.d.pi+.no-vmsub
# comment: HERMES deutron-to-pi+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.d.pi+.no-vmsub.50,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8810219,0.15,0.25,0.1989952,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.115435,0.006173336,0.02083536,0.0034796195121056
hermes3D.d.pi+.no-vmsub.51,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8732069,0.25,0.35,0.2986359,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.1003627,0.005824501,0.02067497,0.003025287037792703
hermes3D.d.pi+.no-vmsub.52,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8661959,0.35,0.45,0.401832,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.07418413,0.004965856,0.01553892,0.0022361722721581704
hermes3D.d.pi+.no-vmsub.53,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8636786,0.45,0.6,0.517069,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.05582226,0.003677111,0.01022017,0.0016826805137595351
hermes3D.d.pi+.no-vmsub.54,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8615321,0.6,0.8,0.6780825,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.02942624,0.002224745,0.002963974,0.0008870110354043599
hermes3D.d.pi+.no-vmsub.55,1,12,1,2001,52.657444,1.0,4.47213595499958,1.1181542827356161,0.023,0.047,0.03752505,0.8,1.1,0.8590686,0.8,1.2,0.9588761,0.938,0.139,1.0158106521635005e-05,True,0.1,0.85,10.0,10000.0,0.01154847,0.001108474,0.001170442,0.0003481117646031633
hermes3D.d.pi+.no-vmsub.56,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1443742,0.0,0.15,0.104801,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,3.748009,0.04201133,0.6267992,0.09147317109809551
hermes3D.d.pi+.no-vmsub.57,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1467474,0.15,0.25,0.2108918,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,7.781325,0.06472314,0.8583441,0.18990948876987435
hermes3D.d.pi+.no-vmsub.58,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1488969,0.25,0.35,0.3129125,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,8.220767,0.06391482,0.6450505,0.20063442386306365
hermes3D.d.pi+.no-vmsub.59,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1517834,0.35,0.45,0.4190171,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,6.191046,0.06006654,0.444585,0.15109745201630514
hermes3D.d.pi+.no-vmsub.60,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1546776,0.45,0.6,0.5550229,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,3.47661,0.04920714,0.3550674,0.08484946043922248
hermes3D.d.pi+.no-vmsub.61,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.1,0.2,0.1584326,0.6,0.8,0.7420438,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,1.272528,0.04800399,0.2314333,0.031057068291756314
hermes3D.d.pi+.no-vmsub.62,1,12,1,2001,52.657444,1.0,4.47213595499958,1.2318380575384087,0.047,0.075,0.06102866,0.1,0.2,0.1667968,0.8,1.2,0.9803013,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,0.1927539,0.04224901,0.03510294,0.004704313803548816
hermes3D.d.pi+.no-vmsub.63,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.2247847,0.0,0.15,0.1011647,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,1.758397,0.02962452,0.1506155,0.042915091623146544
hermes3D.d.pi+.no-vmsub.64,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.225657,0.15,0.25,0.2053781,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,3.810872,0.05333775,0.1468804,0.09300739312230612
hermes3D.d.pi+.no-vmsub.65,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.2275699,0.25,0.35,0.3057087,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,4.510349,0.05967396,0.164759,0.11007869132361314
hermes3D.d.pi+.no-vmsub.66,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.2285505,0.35,0.45,0.4073006,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,3.81559,0.05186927,0.1591412,0.09312253970312831
hermes3D.d.pi+.no-vmsub.67,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.231555,0.45,0.6,0.5321468,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,2.415657,0.03349749,0.05303834,0.058956050018906594
hermes3D.d.pi+.no-vmsub.68,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.2396768,0.6,0.8,0.7252111,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,0.9006933,0.0225034,0.1077294,0.021982143676231372
hermes3D.d.pi+.no-vmsub.69,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.2,0.25,0.2456023,0.8,1.2,0.9923212,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,0.1511331,0.01190023,0.01823217,0.0036885247380370693
hermes3D.d.pi+.no-vmsub.70,1,12,1,2001,52.657444,1.0,4.47213595499958,1.231731301867416,0.047,0.075,0.06102772,0.25,0.3,0.2744569,0.0,0.15,0.1015526,0.938,0.139,6.7778783080460485e-06,True,0.1,0.85,10.0,10000.0,1.198081,0.02359368,0.04934471,0.029240129440024652
