# name: hermes3D.p.k-.no-vmsub
# comment: HERMES proton-to-k- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
# reference: 1212.5407
# processType: SIDIS
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,x_min,x_max,x_avg,z_min,z_max,z_avg,pT_min,pT_max,pT_avg,M_target,M_product,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,corrErr_0
hermes3D.p.k-.no-vmsub.30,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4246884,0.25,0.35,0.3068754,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1024421,0.01004155,0.005884586,0.0027580062146302857
hermes3D.p.k-.no-vmsub.31,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4282686,0.35,0.45,0.4066426,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.1272435,0.01057403,0.007410334,0.0034257240311484126
hermes3D.p.k-.no-vmsub.32,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4248708,0.45,0.6,0.5284098,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.09362886,0.006493267,0.005576309,0.0025207310055997386
hermes3D.p.k-.no-vmsub.33,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4255666,0.6,0.8,0.6994628,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.06659477,0.004124159,0.004120193,0.0017929034012566564
hermes3D.p.k-.no-vmsub.34,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.375,0.475,0.4393389,0.8,1.2,0.9771653,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.02057473,0.001525212,0.001278353,0.0005539249312962169
hermes3D.p.k-.no-vmsub.35,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5439937,0.0,0.15,0.1020402,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.03139809,0.005379559,0.001071274,0.0008453177682566154
hermes3D.p.k-.no-vmsub.36,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5300007,0.15,0.25,0.2038667,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.05456761,0.00750411,0.002519976,0.0014691011556530152
hermes3D.p.k-.no-vmsub.37,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5381195,0.25,0.35,0.3049958,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.07019618,0.006672515,0.004399567,0.0018898626705554276
hermes3D.p.k-.no-vmsub.38,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5366275,0.35,0.45,0.4052781,0.938,0.494,9.699805613741956e-06,True,0.1,0.85,10.0,10000.0,0.07428927,0.006617829,0.002576593,0.002000059236782019
hermes3D.p.k-.no-vmsub.39,1,1,-2,2001,52.657444,1.0,4.47213595499958,1.117911892771519,0.023,0.047,0.03758844,0.475,0.6,0.5511153,0.45,0.6,0.5459777,0.938,0.494,9.699805613741954e-06,True,0.1,0.85,10.0,10000.0,0.05785679,0.005101127,0.002028456,0.0015576543860244896
