# name: LHCb13_dy
# comment: 
# reference: 
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.02
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,Q_avg,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,cutParams_0,cutParams_1,cutParams_2,cutParams_3,xSec,uncorrErr_0,uncorrErr_1,y_avg,qT_avg
LHCb13_dy.14,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,3.66,0.03,0.33,2.75,1.0034769295449626
LHCb13_dy.15,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,6.69,0.06,0.22,2.729747358467168,2.8
LHCb13_dy.16,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,6.77,0.05,0.12,2.7330929500265895,4.0
LHCb13_dy.17,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,6.67,0.05,0.09,2.7328672452424563,5.199999999999999
LHCb13_dy.18,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,6.01,0.05,0.09,2.7327839705302908,6.5
LHCb13_dy.19,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,5.46,0.04,0.08,2.7328531958393385,7.949999999999999
LHCb13_dy.20,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,4.85,0.04,0.08,2.75,9.790736158484053
LHCb13_dy.21,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,3.96,0.03,0.08,2.75,11.832710294304487
LHCb13_dy.22,1,1,1,3,169000000.0,60.0,120.0,91.1876,2.5,3.0,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,3.21,0.03,0.04,2.75,14.315278580819335
LHCb13_dy.28,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,4.4,0.04,0.26,3.25,0.938177017878727
LHCb13_dy.29,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,8.28,0.06,0.33,3.34226041186526,2.8
LHCb13_dy.30,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,8.31,0.06,0.19,3.334913306089365,4.0
LHCb13_dy.31,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,8.04,0.06,0.13,3.331183750073423,5.199999999999999
LHCb13_dy.32,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,7.12,0.05,0.09,3.308206067940687,6.6334595646325285
LHCb13_dy.33,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,6.12,0.05,0.16,3.304042214520935,8.06288967714177
LHCb13_dy.34,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,5.44,0.04,0.11,3.25,9.962930260424503
LHCb13_dy.35,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,4.49,0.03,0.04,3.25,11.970121439373047
LHCb13_dy.36,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.0,3.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,3.52,0.03,0.08,3.25,14.421473302900914
LHCb13_dy.42,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,2.37,0.03,0.12,3.75,1.0058496817150966
LHCb13_dy.43,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,4.56,0.05,0.19,3.75,2.7505508220936887
LHCb13_dy.44,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,4.5,0.05,0.16,3.75,3.895209053516629
LHCb13_dy.45,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,4.17,0.05,0.07,3.75,5.1173981591360285
LHCb13_dy.46,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,3.59,0.04,0.08,3.75,6.4039412867690295
LHCb13_dy.47,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,3.18,0.03,0.13,3.75,7.830060683051494
LHCb13_dy.48,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,2.72,0.03,0.09,3.75,9.473463212153968
LHCb13_dy.49,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,2.38,0.02,0.04,3.75,11.482453783487601
LHCb13_dy.50,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,1.823,0.019,0.04,3.75,13.927995418105215
LHCb13_dy.51,1,1,1,3,169000000.0,60.0,120.0,91.1876,3.5,4.0,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,1.361,0.013,0.059,3.7520310937081485,17.003471902455093
LHCb13_dy.56,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,0.0,2.2,59.99999999999999,True,20.0,20.0,2.0,4.5,0.388,0.012,0.013,4.25,1.3282489493683136
LHCb13_dy.57,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,2.2,3.4,60.0,True,20.0,20.0,2.0,4.5,0.726,0.02,0.021,4.215762811464373,2.8
LHCb13_dy.58,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,3.4,4.6,60.0,True,20.0,20.0,2.0,4.5,0.749,0.02,0.025,4.213702226055511,4.0
LHCb13_dy.59,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,4.6,5.8,60.0,True,20.0,20.0,2.0,4.5,0.776,0.023,0.036,4.212559531189524,5.199999999999999
LHCb13_dy.60,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,5.8,7.2,60.00000000000001,True,20.0,20.0,2.0,4.5,0.617,0.016,0.019,4.21151159808034,6.5
LHCb13_dy.61,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,7.2,8.7,60.0,True,20.0,20.0,2.0,4.5,0.483,0.013,0.045,4.210542601026874,7.949999999999999
LHCb13_dy.62,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,8.7,10.5,60.0,True,20.0,20.0,2.0,4.5,0.428,0.012,0.015,4.2097831236271395,9.6
LHCb13_dy.63,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,10.5,12.8,60.00000000000001,True,20.0,20.0,2.0,4.5,0.4,0.01,0.016,4.2083896791886035,11.65
LHCb13_dy.64,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,12.8,15.4,60.0,True,20.0,20.0,2.0,4.5,0.259,0.007,0.01,4.207614963857122,14.100000000000001
LHCb13_dy.65,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,15.4,19.0,60.0,True,20.0,20.0,2.0,4.5,0.202,0.006,0.013,4.205319440753963,17.2
LHCb13_dy.66,1,1,1,3,169000000.0,60.0,120.0,91.1876,4.0,4.5,19.0,24.5,60.0,True,20.0,20.0,2.0,4.5,0.143,0.004,0.005,4.204898599612847,21.75
